fixedacidity,volatileacidity,citricacid,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,pH,sulphates,alcohol,Color
9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,Red
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,Red
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,White
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,White
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,Red
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,White
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,White
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,White
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,White
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,White
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,White
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,White
6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,White
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,Red
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,Red
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,White
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,White
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,White
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,White
6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,White
10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,Red
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,White
7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,White
6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,White
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,Red
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,White
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,White
6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,White
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,White
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,White
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,Red
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,White
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,White
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,White
7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,White
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,Red
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,White
10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,Red
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,White
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,White
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,White
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,Red
6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,White
5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,White
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,White
6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,White
7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,Red
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,White
5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,White
7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,White
7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,White
6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,White
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,White
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,Red
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,Red
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,White
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,White
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,White
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,White
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,White
5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,White
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,White
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,White
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,White
6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,White
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,White
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,White
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,White
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,Red
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,White
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,White
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,White
5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,White
6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,White
7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,White
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,White
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,White
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,White
7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,Red
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.33333333,White
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,Red
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,Red
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,White
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,White
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,Red
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,White
9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,White
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,Red
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,White
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,Red
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,White
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,Red
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,Red
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,Red
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,White
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,Red
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,White
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,Red
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,Red
7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,White
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,Red
9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,Red
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,White
5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,White
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,White
7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,White
8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,White
7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,White
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,Red
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,White
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,White
8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,White
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,White
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,White
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,Red
8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,Red
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,Red
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,Red
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,Red
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,White
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,Red
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,White
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,White
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,White
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,White
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,Red
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,White
5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,White
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,White
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,White
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,White
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,White
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,White
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,Red
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,White
7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,White
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,White
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,Red
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,Red
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,White
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,Red
7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,White
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,White
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,White
6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,White
6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,White
7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,White
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,Red
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,Red
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,White
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,White
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,Red
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,White
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,Red
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,Red
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,White
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,Red
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,Red
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,White
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,Red
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,White
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,White
6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,White
6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,White
6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,White
5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,White
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,White
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,White
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,White
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,White
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,White
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,Red
5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,White
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,White
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,Red
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,Red
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,White
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,White
6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,White
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,Red
7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,White
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,White
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,White
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,White
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,White
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,Red
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,White
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,White
5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,White
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,White
6.4,0.15,0.25,7.8,0.05,13,68,0.99394,3.16,0.4,9.9,White
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,White
9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,Red
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,Red
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,Red
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,White
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,White
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,White
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,White
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,White
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,White
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,White
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,Red
7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,White
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,White
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,Red
6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,White
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,Red
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,Red
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,White
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,White
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,White
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,White
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,White
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,White
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,White
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,Red
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,White
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,White
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,Red
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,White
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,Red
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,White
5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,White
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,White
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,Red
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,White
6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,White
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,White
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,White
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,White
7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,Red
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,White
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,White
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,White
5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,White
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,White
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,Red
6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,White
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,White
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,White
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,White
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,White
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,White
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,White
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,White
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,White
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,White
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,White
7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,White
8,0.28,0.3,8.4,0.03,35,115,0.99192,2.93,0.42,12.3,White
6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,White
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,Red
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,White
6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,White
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,White
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,Red
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,Red
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,Red
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,White
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,White
7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,White
7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,White
7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,White
9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,White
7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,White
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,Red
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,Red
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,White
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,White
7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,White
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,Red
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,White
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,White
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,White
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,White
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,White
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,Red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,Red
8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,White
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,White
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,White
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,White
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,White
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,Red
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,Red
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,Red
6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,White
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,White
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,Red
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,Red
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,White
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,Red
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,White
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,White
6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,White
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,White
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,Red
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,White
7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,White
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,White
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,White
9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,White
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,White
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,White
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,White
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,White
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,Red
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,White
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,White
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,White
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,White
6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,White
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,White
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,White
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,Red
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,White
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,White
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,Red
6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,White
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,White
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,White
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,White
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,White
